State,MMT_Co2
Alabama,0.020716096
Alaska,0.9977914
Arizona,2.532554042
Arkansas,1.236283927
California,6.657439392
Colorado,1.589003317
Connecticut,0.127281848
Delaware,0.134703732
District of Columbia,1.147036949
Florida,1.915196849
Georgia,0.105331497
Hawaii,4.158682095
Idaho,2.246353515
Illinois,3.147864802
Indiana,1.95501113
Iowa,2.830232274
Kansas,1.234810554
Kentucky,0.976762103
Louisiana,0.118218058
Maine,0.409805474
Maryland,0.191366821
Massachusetts,2.030281929
Michigan,3.488174609
Minnesota,2.283344279
Mississippi,1.262278157
Missouri,1.214627666
Montana,1.741699878
Nebraska,2.067612319
Nevada,4.175677233
New Hampshire,0.04787188
New Jersey,0.258374498
New Mexico,0.756743548
New York,0.302358299
North Carolina,1.104563914
North Dakota,2.067103133
Ohio,1.882361511
Oklahoma,1.369497486
Oregon,1.533538469
Pennsylvania,0.014711064
Rhode Island,0.585536305
South Carolina,1.973327507
South Dakota,0.909615665
Tennessee,5.674369557
Texas,0.581862457
Utah,0.862387393
Vermont,0.17114125
Virginia,1.376905775
Washington,2.534113493
West Virginia,0.211795066
Wisconsin,0.508475431
Wyoming,
